EventId,EventTemplate,Occurrences
26dd3cb6,COMPLETE SIB- LIST,174
a7feadbb,SUBSEQUENT SEGMENT,59
d51f2c9d,LAST SEGMENT SHORT,28
474cb5df,FIRST SEGMENT,31
8cf37edf,NO SEGMENT,28
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,118
e7ed9071,SYSTEM INFORMATION,104
8883b77f,SIB5: F: <*> P: <*>,3
19f1ee84,RRC CONNECTION <*>,63
5a9160d8,RRC CONNECTION <*> COMPLETE,26
d569b07b,ATTACH <*>,36
8731ff20,DL INFORMATION TRANSFER,28
6577c5e3,AUTHENTICATION <*>,8
8c18cf06,UL INFORMATION TRANSFER,16
c7258716,IDENTITY <*>,4
d789d7ba,PAGING TYPE1,1
b9fd3309,SECURITY MODE <*>,4
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,7
c894a23e,DETACH REQUEST,1
8a785984,TRACKING AREA UPDATE REQUEST,7
17fa1a64,EMM STATUS,5
7bc5722c,UE CAPABILITY <*>,2
0a2f5089,PAGING,15
