LineId,Time,Level,Content,EventId,EventTemplate,ParameterList
1,1619405810.099720000,INFO,MEASUREMENT REPORT: RSRP:	-125	RSRQ:	-19.5	NEIGH:	{0},dd8f31b2,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: <*>,"['-125', '-19.5', '{0}']"
2,1619405820.339681000,INFO,MEASUREMENT REPORT: RSRP:	-115	RSRQ:	-16	NEIGH:	{0},dd8f31b2,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: <*>,"['-115', '-16', '{0}']"
3,1619405823.544676000,INFO,PAGING,0a2f5089,PAGING,[]
4,1619405826.104665000,INFO,PAGING,0a2f5089,PAGING,[]
5,1619405830.579644000,INFO,MEASUREMENT REPORT: RSRP:	-121	RSRQ:	-15.5	NEIGH:	{1},dd8f31b2,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: <*>,"['-121', '-15.5', '{1}']"
6,1619405833.145135000,INFO,RRC CONNECTION RELEASE,19f1ee84,RRC CONNECTION <*>,['RELEASE']
7,1619405836.257571000,INFO,PAGING,0a2f5089,PAGING,[]
8,1619405845.216562000,INFO,PAGING,0a2f5089,PAGING,[]
9,1619405847.776581000,INFO,PAGING,0a2f5089,PAGING,[]
10,1619405849.060560000,INFO,PAGING,0a2f5089,PAGING,[]
11,1619405850.336561000,INFO,PAGING,0a2f5089,PAGING,[]
12,1619405851.616562000,INFO,PAGING,0a2f5089,PAGING,[]
13,1619405861.823555000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
14,1619405869.584608000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
15,1619405870.299552000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
16,1619405870.421943000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
17,1619405870.460003000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
18,1619405870.509543000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
19,1619405870.519009000,INFO,RRC CONNECTION SETUP COMPLETE,1277f64c,RRC CONNECTION SETUP COMPLETE,[]
20,1619405870.519009000,INFO,TRACKING AREA UPDATE REQUEST,8a785984,TRACKING AREA UPDATE REQUEST,[]
21,1619405870.545994000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
22,1619405870.545994000,INFO,AUTHENTICATION REJECT,6bedeca7,AUTHENTICATION REJECT,[]
