LineId,Time,Level,Content,EventId,EventTemplate,ParameterList
1,1618121393.416167000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
2,1618121393.416205000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
3,1618121393.416223000,INFO,RRC CONNECTION SETUP COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['SETUP COMPLETE']
4,1618121393.416223000,INFO,ATTACH REQUEST,dadcc3b2,ATTACH REQUEST,[]
5,1618121393.416238000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
6,1618121393.416238000,INFO,IDENTITY REQUEST,c7258716,IDENTITY <*>,['REQUEST']
7,1618121393.416263000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
8,1618121393.416263000,INFO,IDENTITY RESPONSE,c7258716,IDENTITY <*>,['RESPONSE']
9,1618121439.306805000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
10,1618121439.557260000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
11,1618121439.557303000,INFO,RRC CONNECTION SETUP COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['SETUP COMPLETE']
12,1618121439.557303000,INFO,ATTACH REQUEST,dadcc3b2,ATTACH REQUEST,[]
13,1618121439.770847000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
14,1618121439.770847000,INFO,AUTHENTICATION REQUEST,6577c5e3,AUTHENTICATION <*>,['REQUEST']
15,1618121439.770960000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
16,1618121439.770960000,INFO,AUTHENTICATION RESPONSE,6577c5e3,AUTHENTICATION <*>,['RESPONSE']
17,1618121439.770996000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
18,1618121439.770996000,INFO,SECURITY MODE COMMAND,b9fd3309,SECURITY MODE <*>,['COMMAND']
19,1618121439.771022000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
20,1618121439.771022000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
21,1618121440.768737000,INFO,SECURITY MODE COMMAND,b9fd3309,SECURITY MODE <*>,['COMMAND']
22,1618121440.768786000,INFO,SECURITY MODE COMPLETE,b9fd3309,SECURITY MODE <*>,['COMPLETE']
23,1618121440.768831000,INFO,UE CAPABILITY ENQUIRY,7bc5722c,UE CAPABILITY <*>,['ENQUIRY']
24,1618121440.768869000,INFO,UE CAPABILITY INFORMATION,7bc5722c,UE CAPABILITY <*>,['INFORMATION']
25,1618121440.929149000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
26,1618121440.929149000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
27,1618121440.929202000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['RECONFIGURATION COMPLETE']
28,1618121440.929266000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
29,1618121440.929266000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
30,1618121440.929326000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
31,1618121440.929326000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
32,1618121441.192437000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
33,1618121441.192437000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
34,1618121441.192498000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
35,1618121441.192498000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
36,1618121441.192518000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['RECONFIGURATION COMPLETE']
37,1618121441.192558000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
38,1618121441.192558000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
39,1618121442.876737000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
40,1618121442.876796000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['RECONFIGURATION COMPLETE']
41,1618121442.876813000,INFO,MEASUREMENT REPORT: RSRP:	-116	RSRQ:	-13.5	NEIGH:	{0},dd8f31b2,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: <*>,"['-116', '-13.5', '{0}']"
42,1618121449.280265000,INFO,PAGING,0a2f5089,PAGING,[]
43,1618121449.612312000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
44,1618121449.612352000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['RECONFIGURATION COMPLETE']
45,1618121451.838867000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
46,1618121451.838916000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['RECONFIGURATION COMPLETE']
47,1618121451.838959000,INFO,PAGING,0a2f5089,PAGING,[]
48,1618121453.513981000,INFO,MEASUREMENT REPORT: RSRP:	-116	RSRQ:	-17	NEIGH:	{0},dd8f31b2,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: <*>,"['-116', '-17', '{0}']"
49,1618121457.917678000,INFO,RRC CONNECTION RELEASE,19f1ee84,RRC CONNECTION <*>,['RELEASE']
50,1618121457.917719000,INFO,PAGING,0a2f5089,PAGING,[]
51,1618121467.043864000,INFO,PAGING,0a2f5089,PAGING,[]
52,1618121475.349738000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
53,1618121475.620133000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
54,1618121475.620176000,INFO,RRC CONNECTION SETUP COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['SETUP COMPLETE']
55,1618121475.620176000,INFO,TRACKING AREA UPDATE REQUEST,7c254454,TRACKING AREA UPDATE <*>,['REQUEST']
56,1618121475.620218000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
57,1618121475.620218000,INFO,TRACKING AREA UPDATE REJECT,7c254454,TRACKING AREA UPDATE <*>,['REJECT']
58,1618121476.966404000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
59,1618121476.966429000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
60,1618121476.966444000,INFO,RRC CONNECTION SETUP COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['SETUP COMPLETE']
61,1618121476.966444000,INFO,ATTACH REQUEST,dadcc3b2,ATTACH REQUEST,[]
62,1618121477.216169000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
63,1618121477.216169000,INFO,IDENTITY REQUEST,c7258716,IDENTITY <*>,['REQUEST']
64,1618121477.216255000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
65,1618121477.216255000,INFO,IDENTITY RESPONSE,c7258716,IDENTITY <*>,['RESPONSE']
66,1618121522.291800000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
67,1618121522.522872000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
68,1618121522.522911000,INFO,RRC CONNECTION SETUP COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['SETUP COMPLETE']
69,1618121522.522911000,INFO,ATTACH REQUEST,dadcc3b2,ATTACH REQUEST,[]
70,1618121522.522971000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
71,1618121522.522971000,INFO,AUTHENTICATION REQUEST,6577c5e3,AUTHENTICATION <*>,['REQUEST']
72,1618121522.813328000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
73,1618121522.813328000,INFO,AUTHENTICATION RESPONSE,6577c5e3,AUTHENTICATION <*>,['RESPONSE']
74,1618121522.813360000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
75,1618121522.813360000,INFO,SECURITY MODE COMMAND,b9fd3309,SECURITY MODE <*>,['COMMAND']
76,1618121522.813389000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
77,1618121522.813389000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
