EventId,EventTemplate,Occurrences
19f1ee84,RRC CONNECTION <*>,106
e17eede7,RRC CONNECTION <*> <*>,76
dadcc3b2,ATTACH REQUEST,8
8731ff20,DL INFORMATION TRANSFER,43
c7258716,IDENTITY <*>,26
8c18cf06,UL INFORMATION TRANSFER,52
6577c5e3,AUTHENTICATION <*>,12
b9fd3309,SECURITY MODE <*>,33
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,66
7bc5722c,UE CAPABILITY <*>,24
dd8f31b2,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: <*>,36
0a2f5089,PAGING,58
7c254454,TRACKING AREA UPDATE <*>,18
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,30
e7ed9071,SYSTEM INFORMATION,26
8b3fa4e5,SIB5: F: 825 P: 5,2
