LineId,Time,Level,Content,EventId,EventTemplate,ParameterList
1,1619303908.378304000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
2,1619303908.421680000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
3,1619303908.462285000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
4,1619303908.550402000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
5,1619303908.560535000,INFO,RRC CONNECTION SETUP COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['SETUP']
6,1619303908.560535000,INFO,TRACKING AREA UPDATE REQUEST,8a785984,TRACKING AREA UPDATE REQUEST,[]
7,1619303908.585356000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
8,1619303908.585356000,INFO,IDENTITY REQUEST,c7258716,IDENTITY <*>,['REQUEST']
9,1619303908.588329000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
10,1619303908.588329000,INFO,IDENTITY RESPONSE,c7258716,IDENTITY <*>,['RESPONSE']
11,1619303910.578340000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
12,1619303910.578340000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
13,1619303913.413315000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
14,1619303913.413315000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
15,1619303998.706054000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
16,1619303998.934652000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
17,1619303999.075669000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
18,1619303999.214660000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
19,1619303999.501682000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
20,1619303999.675667000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
21,1619304039.256482000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
22,1619304039.257931000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
23,1619304039.288478000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
24,1619304039.347313000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
25,1619304039.352276000,INFO,RRC CONNECTION SETUP COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['SETUP']
26,1619304039.352276000,INFO,TRACKING AREA UPDATE REQUEST,8a785984,TRACKING AREA UPDATE REQUEST,[]
27,1619304039.385565000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
28,1619304039.385565000,INFO,IDENTITY REQUEST,c7258716,IDENTITY <*>,['REQUEST']
29,1619304039.387306000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
30,1619304039.387306000,INFO,IDENTITY RESPONSE,c7258716,IDENTITY <*>,['RESPONSE']
31,1619304041.395581000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
32,1619304041.396828000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
