EventId,EventTemplate,Occurrences
0a2f5089,PAGING,73
19f1ee84,RRC CONNECTION <*>,34
e17eede7,RRC CONNECTION <*> <*>,19
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,12
b9fd3309,SECURITY MODE <*>,10
7bc5722c,UE CAPABILITY <*>,8
520aaea0,MEASUREMENT REPORT: RSRP: <*> RSRQ: -19.5 NEIGH: {1},3
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,37
e7ed9071,SYSTEM INFORMATION,34
8883b77f,SIB5: F: <*> P: <*>,3
8a785984,TRACKING AREA UPDATE REQUEST,10
8731ff20,DL INFORMATION TRANSFER,16
c7258716,IDENTITY <*>,18
8c18cf06,UL INFORMATION TRANSFER,16
6577c5e3,AUTHENTICATION <*>,4
dadcc3b2,ATTACH REQUEST,1
