EventId,EventTemplate,Occurrences
b7188881,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*>,155
0a2f5089,PAGING,1363
19f1ee84,RRC CONNECTION <*>,2187
e17eede7,RRC CONNECTION <*> <*>,1575
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,2774
b9fd3309,SECURITY MODE <*>,1128
7bc5722c,UE CAPABILITY <*>,865
a1083e7a,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: {RSRP: <*> RSRQ: <*>,325
8c18cf06,UL INFORMATION TRANSFER,1559
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,639
e7ed9071,SYSTEM INFORMATION,1077
8bd77411,SIB5: { F: 8665 P: <*> F: <*> P: <*> F: <*> P: <*> F: <*> P: <*> F: <*> P: <*> F: <*> P: <*> F: 65535 P: 4; F: <*> P: <*>,91
7c254454,TRACKING AREA UPDATE <*>,3
8731ff20,DL INFORMATION TRANSFER,789
dadcc3b2,ATTACH REQUEST,260
f2b31b36,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: {RSRP: <*> RSRQ: <*> <*> RSRQ: <*>,242
51ff8b2f,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: {RSRP: <*> RSRQ: <*> <*> RSRQ: <*> <*> RSRQ: <*>,42
de6b6c4f,EXTENDED SERVICE REQUEST,1
c894a23e,DETACH REQUEST,1
4cabfe9a,SIB5: { F: 825 P: 5; F: 65535 P: 4; F: 65535 P: 4; F: 2300 P: 6;},417
967fb354,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: {RSRP: <*> RSRQ: <*> <*> RSRQ: <*> <*> RSRQ: <*> <*> RSRQ: <*>,8
ff73fc4f,MEASUREMENT REPORT: RSRP: RSRP < -140 RSRQ: -19.5,1
af2e13eb,MEASUREMENT REPORT: RSRP: RSRP < -140 RSRQ: -19.5 NEIGH: {RSRP: -112 RSRQ: -17;RSRP: -113 RSRQ: -17.5;},1
11e4fc4c,AUTHENTICATION FAILURE,1
