EventId,EventTemplate,Occurrences
26dd3cb6,COMPLETE SIB- LIST,174
a7feadbb,SUBSEQUENT SEGMENT,59
d51f2c9d,LAST SEGMENT SHORT,28
474cb5df,FIRST SEGMENT,31
8cf37edf,NO SEGMENT,28
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,57
e7ed9071,SYSTEM INFORMATION,51
19f1ee84,RRC CONNECTION <*>,27
1277f64c,RRC CONNECTION SETUP COMPLETE,9
d569b07b,ATTACH <*>,14
8731ff20,DL INFORMATION TRANSFER,11
6577c5e3,AUTHENTICATION <*>,6
8c18cf06,UL INFORMATION TRANSFER,6
c7258716,IDENTITY <*>,4
d789d7ba,PAGING TYPE1,1
018eaf98,SECURITY MODE COMMAND,1
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,1
