EventId,EventTemplate,Occurrences
26dd3cb6,COMPLETE SIB- LIST,251
474cb5df,FIRST SEGMENT,38
d51f2c9d,LAST SEGMENT SHORT,40
a7feadbb,SUBSEQUENT SEGMENT,90
8cf37edf,NO SEGMENT,53
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,34
e7ed9071,SYSTEM INFORMATION,37
19f1ee84,RRC CONNECTION <*>,32
5a9160d8,RRC CONNECTION <*> COMPLETE,14
dadcc3b2,ATTACH REQUEST,11
8731ff20,DL INFORMATION TRANSFER,10
6577c5e3,AUTHENTICATION <*>,18
8c18cf06,UL INFORMATION TRANSFER,10
d789d7ba,PAGING TYPE1,1
c7258716,IDENTITY <*>,2
7b732bf9,INITIAL DIRECT TRANSFER,2
d3029aef,MEASUREMENT <*>,9
02940325,DOWNLINK DIRECT TRANSFER,2
d6eeb54c,SIGNALLING CONNECTION RELEASE,1
