LineId,Time,Level,Content,EventId,EventTemplate,ParameterList
1,1437931642,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
2,1437931642,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
3,1437931642,INFO,RRC CONNECTION SETUP COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['SETUP COMPLETE']
4,1437931642,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
5,1437931642,INFO,SECURITY MODE COMMAND,b9fd3309,SECURITY MODE <*>,['COMMAND']
6,1437931642,INFO,SECURITY MODE COMPLETE,b9fd3309,SECURITY MODE <*>,['COMPLETE']
7,1437931642,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
8,1437931642,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['RECONFIGURATION COMPLETE']
9,1437931642,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
10,1437931642,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
11,1437931642,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
12,1437931642,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['RECONFIGURATION COMPLETE']
13,1437931642,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
14,1437931642,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
15,1437931642,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['RECONFIGURATION COMPLETE']
16,1437931642,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
17,1437931642,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
18,1437931644,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
19,1437931644,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
20,1437931644,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
21,1437931644,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
22,1437931644,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['RECONFIGURATION COMPLETE']
23,1437931644,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
