EventId,EventTemplate,Occurrences
19f1ee84,RRC CONNECTION <*>,1997
e17eede7,RRC CONNECTION <*> <*>,1387
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,872
b9fd3309,SECURITY MODE <*>,564
8c18cf06,UL INFORMATION TRANSFER,394
0a2f5089,PAGING,1001
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,2875
e7ed9071,SYSTEM INFORMATION,4479
d4d15a19,MEASUREMENT REPORT,403
8a785984,TRACKING AREA UPDATE REQUEST,91
8731ff20,DL INFORMATION TRANSFER,442
51cf7ee0,CSFB PARAMETERS <*> CDMA2000,124
dadcc3b2,ATTACH REQUEST,37
7bc5722c,UE CAPABILITY <*>,74
