EventId,EventTemplate,Occurrences
19f1ee84,RRC CONNECTION <*>,110
a7feadbb,SUBSEQUENT SEGMENT,204
d51f2c9d,LAST SEGMENT SHORT,104
26dd3cb6,COMPLETE SIB- LIST,591
8cf37edf,NO SEGMENT,85
474cb5df,FIRST SEGMENT,109
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,82
e7ed9071,SYSTEM INFORMATION,75
5a9160d8,RRC CONNECTION <*> COMPLETE,42
d569b07b,ATTACH <*>,43
8731ff20,DL INFORMATION TRANSFER,30
6577c5e3,AUTHENTICATION <*>,15
8c18cf06,UL INFORMATION TRANSFER,25
b9fd3309,SECURITY MODE <*>,16
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,16
c894a23e,DETACH REQUEST,8
c7258716,IDENTITY <*>,9
d789d7ba,PAGING TYPE1,1
