LineId,Time,Level,Content,EventId,EventTemplate,ParameterList
1,1607278503.716080000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
2,1607278503.716080000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
3,1607278503.716080000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
4,1607278503.716080000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
5,1607278503.716080000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
6,1607278503.716080000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
7,1607278503.716080000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
8,1607278503.716080000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
9,1607278503.716080000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
10,1607278503.716080000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
11,1607278503.716080000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
12,1607278503.933651000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
13,1607278503.933651000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
14,1607278503.933651000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
15,1607279360.689802000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
16,1607279360.689802000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
17,1607279360.830354000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
18,1607279360.830354000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
19,1607279361.287210000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
20,1607279361.287210000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
21,1607279361.527211000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
22,1607279378.821326000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
23,1607279378.821326000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
24,1607279378.821326000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
25,1607279378.821326000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
26,1607279378.821326000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
27,1607279378.821326000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
28,1607279378.821326000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
29,1607279378.821326000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
30,1607279378.821326000,INFO,RRC CONNECTION SETUP COMPLETE,1277f64c,RRC CONNECTION SETUP COMPLETE,[]
31,1607279378.821326000,INFO,ATTACH REQUEST,d569b07b,ATTACH <*>,['REQUEST']
32,1607279379.075558000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
33,1607279379.075558000,INFO,ATTACH REJECT,d569b07b,ATTACH <*>,['REJECT']
34,1607279379.075558000,INFO,RRC CONNECTION RELEASE,19f1ee84,RRC CONNECTION <*>,['RELEASE']
35,1607279379.399083000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
36,1607279379.399083000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
37,1607279379.399083000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
38,1607279379.399083000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
39,1607279379.399083000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
40,1607279379.399083000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
41,1607279379.399083000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
42,1607279379.399083000,INFO,PAGING,0a2f5089,PAGING,[]
43,1607279379.399083000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
44,1607279379.399083000,INFO,RRC CONNECTION SETUP COMPLETE,1277f64c,RRC CONNECTION SETUP COMPLETE,[]
45,1607279379.399083000,INFO,ATTACH REQUEST,d569b07b,ATTACH <*>,['REQUEST']
46,1607279379.711129000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
47,1607279379.711129000,INFO,ATTACH REJECT,d569b07b,ATTACH <*>,['REJECT']
48,1607279379.711129000,INFO,RRC CONNECTION RELEASE,19f1ee84,RRC CONNECTION <*>,['RELEASE']
49,1607279380.032282000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
50,1607279380.032282000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
51,1607279380.032282000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
52,1607279380.032282000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
53,1607279380.032282000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
54,1607279380.032282000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
55,1607279380.032282000,INFO,RRC CONNECTION SETUP COMPLETE,1277f64c,RRC CONNECTION SETUP COMPLETE,[]
56,1607279380.032282000,INFO,ATTACH REQUEST,d569b07b,ATTACH <*>,['REQUEST']
57,1607279380.032282000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
58,1607279380.032282000,INFO,ATTACH REJECT,d569b07b,ATTACH <*>,['REJECT']
59,1607279380.032282000,INFO,RRC CONNECTION RELEASE,19f1ee84,RRC CONNECTION <*>,['RELEASE']
60,1607279380.689990000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
61,1607279380.689990000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
62,1607279380.689990000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
63,1607279380.689990000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
64,1607279380.689990000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
65,1607279380.689990000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
66,1607279380.689990000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
67,1607279412.298959000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
68,1607279412.298959000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
69,1607279412.298959000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
70,1607279412.298959000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
71,1607279412.298959000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
72,1607279412.298959000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
73,1607279412.298959000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
74,1607279412.298959000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
75,1607279412.298959000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
76,1607279412.298959000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
77,1607279412.298959000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
78,1607279412.517293000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
79,1607279412.517293000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
80,1607279412.517293000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
81,1607279412.517293000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
82,1607279412.517293000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
83,1607279412.517293000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
84,1607279412.517293000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
85,1607279412.517293000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
86,1607279412.517293000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
87,1607279412.517293000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
88,1607279412.517293000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
89,1607279412.740081000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
90,1607279412.740081000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
91,1607279412.740081000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
