LineId,Time,Level,Content,EventId,EventTemplate,ParameterList
1,1618202304.737240000,INFO,PAGING,0a2f5089,PAGING,[]
2,1618202307.297238000,INFO,PAGING,0a2f5089,PAGING,[]
3,1618202318.817237000,INFO,PAGING,0a2f5089,PAGING,[]
4,1618202326.497237000,INFO,PAGING,0a2f5089,PAGING,[]
5,1618202343.136620000,INFO,PAGING,0a2f5089,PAGING,[]
6,1618202359.777240000,INFO,PAGING,0a2f5089,PAGING,[]
7,1618202361.056581000,INFO,PAGING,0a2f5089,PAGING,[]
8,1618202370.016548000,INFO,PAGING,0a2f5089,PAGING,[]
9,1618202375.136531000,INFO,PAGING,0a2f5089,PAGING,[]
10,1618202376.416548000,INFO,PAGING,0a2f5089,PAGING,[]
11,1618202384.096521000,INFO,PAGING,0a2f5089,PAGING,[]
12,1618202396.324372000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
13,1618202396.447312000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
14,1618202396.481292000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
15,1618202396.550716000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
16,1618202396.559472000,INFO,RRC CONNECTION SETUP COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['SETUP COMPLETE']
17,1618202396.559472000,INFO,TRACKING AREA UPDATE REQUEST,7c254454,TRACKING AREA UPDATE <*>,['REQUEST']
18,1618202396.590492000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
19,1618202396.590492000,INFO,IDENTITY REQUEST,c7258716,IDENTITY <*>,['REQUEST']
20,1618202396.593460000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
21,1618202396.593460000,INFO,IDENTITY RESPONSE,c7258716,IDENTITY <*>,['RESPONSE']
22,1618202397.662396000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
23,1618202397.663292000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
24,1618202411.574533000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
25,1618202411.575689000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
26,1618202411.618257000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
