EventId,EventTemplate,Occurrences
0a2f5089,PAGING,58
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,30
e7ed9071,SYSTEM INFORMATION,26
19f1ee84,RRC CONNECTION <*>,106
e17eede7,RRC CONNECTION <*> <*>,76
7c254454,TRACKING AREA UPDATE <*>,18
8731ff20,DL INFORMATION TRANSFER,43
c7258716,IDENTITY <*>,26
8c18cf06,UL INFORMATION TRANSFER,52
2c763e01,SIB5: { F: 8665 P: 1; F: 825 P: 5; F: 800 P: 5; F: 65535 P: 2; F: 65535 P: 2; F: 65535 P: 2; F: 65535 P: 4; F: 5035 P: 1;},2
6577c5e3,AUTHENTICATION <*>,12
b9fd3309,SECURITY MODE <*>,33
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,66
7bc5722c,UE CAPABILITY <*>,24
dadcc3b2,ATTACH REQUEST,8
a1083e7a,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: {RSRP: <*> RSRQ: <*>,16
b7188881,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*>,18
d913c2a1,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: {x},2
