EventId,EventTemplate,Occurrences
19f1ee84,RRC CONNECTION <*>,78
e17eede7,RRC CONNECTION <*> <*>,61
dadcc3b2,ATTACH REQUEST,7
8731ff20,DL INFORMATION TRANSFER,30
c7258716,IDENTITY <*>,14
8c18cf06,UL INFORMATION TRANSFER,38
6577c5e3,AUTHENTICATION <*>,10
b9fd3309,SECURITY MODE <*>,23
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,51
7bc5722c,UE CAPABILITY <*>,16
b7188881,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*>,15
0a2f5089,PAGING,25
7c254454,TRACKING AREA UPDATE <*>,11
999906f1,MEASUREMENT REPORT: RSRP: <*> RSRQ: -19.5 NEIGH: {RSRP: <*> RSRQ: <*>,15
d913c2a1,MEASUREMENT REPORT: RSRP: <*> RSRQ: <*> NEIGH: {x},2
