LineId,Time,Level,Content,EventId,EventTemplate,ParameterList
1,1607281184.720301000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
2,1607281184.720301000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
3,1607281184.720301000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
4,1607281184.720301000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
5,1607281184.720301000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
6,1607281184.720301000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
7,1607281184.720301000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
8,1607281184.720301000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
9,1607281184.720301000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
10,1607281184.720301000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
11,1607281184.720301000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
12,1607281184.942443000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
13,1607281184.942443000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
14,1607281184.942443000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
15,1607281184.942443000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
16,1607281184.942443000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
17,1607281184.942443000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
18,1607281184.942443000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
19,1607281184.942443000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
20,1607281184.942443000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
21,1607281184.942443000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
22,1607281184.942443000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
23,1607281185.167640000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
24,1607281185.168663000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
25,1607281185.168663000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
26,1607281185.168663000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
27,1607281185.168663000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
28,1607281185.168663000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
29,1607281185.168663000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
30,1607281185.168663000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
