LineId,Time,Level,Content,EventId,EventTemplate,ParameterList
1,1493471761,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
2,1493471761,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['RECONFIGURATION COMPLETE']
3,1493471764,INFO,MEASUREMENT REPORT,d4d15a19,MEASUREMENT REPORT,[]
4,1493471765,INFO,MEASUREMENT REPORT,d4d15a19,MEASUREMENT REPORT,[]
5,1493471765,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
6,1493471765,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['RECONFIGURATION COMPLETE']
7,1493471765,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
8,1493471765,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
9,1493471765,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['RECONFIGURATION COMPLETE']
10,1493471765,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
11,1493471765,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
12,1493471765,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,e17eede7,RRC CONNECTION <*> <*>,['RECONFIGURATION COMPLETE']
13,1493471765,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
14,1493471765,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
15,1493471765,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
16,1493471765,INFO,PAGING,0a2f5089,PAGING,[]
17,1493471765,INFO,MEASUREMENT REPORT,d4d15a19,MEASUREMENT REPORT,[]
18,1493471765,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
19,1493471765,INFO,DOWNLINK  NAS TRANSPORT,bf85990a,DOWNLINK NAS TRANSPORT,[]
