EventId,EventTemplate,Occurrences
19f1ee84,RRC CONNECTION <*>,2754
e17eede7,RRC CONNECTION <*> <*>,2184
d4d15a19,MEASUREMENT REPORT,2259
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,774
e7ed9071,SYSTEM INFORMATION,1588
0a2f5089,PAGING,2678
8731ff20,DL INFORMATION TRANSFER,44
bf85990a,DOWNLINK NAS TRANSPORT,14
8c18cf06,UL INFORMATION TRANSFER,44
99f84cdf,UPLINK NAS TRANSPORT,14
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,263
b9fd3309,SECURITY MODE <*>,525
db87495a,UE INFORMATION <*>,84
7bc5722c,UE CAPABILITY <*>,530
7c254454,TRACKING AREA UPDATE <*>,51
b27e190d,EMM INFORMATION,2
6577c5e3,AUTHENTICATION <*>,10
dadcc3b2,ATTACH REQUEST,1
