EventId,EventTemplate,Occurrences
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,309
e7ed9071,SYSTEM INFORMATION,789
19f1ee84,RRC CONNECTION <*>,1107
5a9160d8,RRC CONNECTION <*> COMPLETE,796
dadcc3b2,ATTACH REQUEST,150
8731ff20,DL INFORMATION TRANSFER,450
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,1578
8c18cf06,UL INFORMATION TRANSFER,900
b9fd3309,SECURITY MODE <*>,610
7bc5722c,UE CAPABILITY <*>,460
d4d15a19,MEASUREMENT REPORT,333
0a2f5089,PAGING,392
11e4fc4c,AUTHENTICATION FAILURE,1
335cd993,TRACKING AREA UPDATE REJECT,1
