LineId,Time,Level,Content,EventId,EventTemplate,ParameterList
1,1610515080.126521000,INFO,PAGING,0a2f5089,PAGING,[]
2,1610515086.530650000,INFO,PAGING,0a2f5089,PAGING,[]
3,1610515087.733287000,INFO,PAGING,0a2f5089,PAGING,[]
4,1610515098.049712000,INFO,PAGING,0a2f5089,PAGING,[]
5,1610515105.725995000,INFO,PAGING,0a2f5089,PAGING,[]
6,1610515107.443913000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
7,1610515107.444044000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
8,1610515107.444148000,INFO,RRC CONNECTION SETUP COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['SETUP']
9,1610515107.444148000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
10,1610515107.444228000,INFO,SECURITY MODE COMMAND,b9fd3309,SECURITY MODE <*>,['COMMAND']
11,1610515107.444291000,INFO,SECURITY MODE COMPLETE,b9fd3309,SECURITY MODE <*>,['COMPLETE']
12,1610515107.444357000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
13,1610515107.444428000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['RECONFIGURATION']
14,1610515107.444482000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
15,1610515107.444534000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['RECONFIGURATION']
16,1610515107.444587000,INFO,MEASUREMENT REPORT,d4d15a19,MEASUREMENT REPORT,[]
17,1610515107.642066000,INFO,UE CAPABILITY ENQUIRY,7bc5722c,UE CAPABILITY <*>,['ENQUIRY']
18,1610515107.642131000,INFO,UE CAPABILITY INFORMATION,7bc5722c,UE CAPABILITY <*>,['INFORMATION']
19,1610515107.948577000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
20,1610515107.948577000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
21,1610515112.259820000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
22,1610515112.259989000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
23,1610515112.260091000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
24,1610515112.260219000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
25,1610515112.475153000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
26,1610515112.475321000,INFO,RRC CONNECTION SETUP COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['SETUP']
27,1610515112.475321000,INFO,ATTACH REQUEST,dadcc3b2,ATTACH REQUEST,[]
28,1610515112.475418000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
29,1610515112.475500000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
30,1610515112.475580000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
31,1610515112.475646000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
32,1610515112.475711000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
33,1610515112.475774000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
34,1610515112.682632000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
35,1610515112.682632000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
36,1610515112.682884000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
37,1610515112.682884000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
38,1610515112.682966000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
39,1610515112.682966000,INFO,SECURITY MODE COMMAND,b9fd3309,SECURITY MODE <*>,['COMMAND']
40,1610515112.683086000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
41,1610515112.683086000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
42,1610515113.166725000,INFO,SECURITY MODE COMMAND,b9fd3309,SECURITY MODE <*>,['COMMAND']
43,1610515113.166768000,INFO,SECURITY MODE COMPLETE,b9fd3309,SECURITY MODE <*>,['COMPLETE']
44,1610515113.166785000,INFO,UE CAPABILITY ENQUIRY,7bc5722c,UE CAPABILITY <*>,['ENQUIRY']
45,1610515113.166802000,INFO,UE CAPABILITY INFORMATION,7bc5722c,UE CAPABILITY <*>,['INFORMATION']
46,1610515113.166821000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
47,1610515113.166821000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
48,1610515113.166839000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['RECONFIGURATION']
49,1610515113.166872000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
50,1610515113.166872000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
51,1610515113.166885000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
52,1610515113.166896000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['RECONFIGURATION']
53,1610515113.166907000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
54,1610515113.166918000,INFO,MEASUREMENT REPORT,d4d15a19,MEASUREMENT REPORT,[]
55,1610515113.166928000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
56,1610515113.166928000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
57,1610515113.166949000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
58,1610515113.166949000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
59,1610515113.521160000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
60,1610515113.521160000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
61,1610515113.521338000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['RECONFIGURATION']
62,1610515113.521550000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
63,1610515113.521550000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
64,1610515113.851076000,INFO,MEASUREMENT REPORT,d4d15a19,MEASUREMENT REPORT,[]
65,1610515113.851228000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
66,1610515113.851317000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['RECONFIGURATION']
67,1610515115.666756000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
68,1610515115.666756000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
69,1610515137.878422000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
70,1610515137.878587000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
71,1610515137.878673000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
72,1610515137.878788000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
73,1610515138.084540000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
74,1610515138.084706000,INFO,RRC CONNECTION SETUP COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['SETUP']
75,1610515138.084706000,INFO,ATTACH REQUEST,dadcc3b2,ATTACH REQUEST,[]
76,1610515138.084806000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
77,1610515138.084887000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
78,1610515138.084887000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
79,1610515138.084996000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
80,1610515138.085065000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
81,1610515138.085122000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
82,1610515138.085184000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
83,1610515138.085247000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
84,1610515138.085331000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
85,1610515138.085331000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
86,1610515138.085390000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
87,1610515138.085390000,INFO,SECURITY MODE COMMAND,b9fd3309,SECURITY MODE <*>,['COMMAND']
88,1610515138.085530000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
89,1610515138.085530000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
90,1610515138.770359000,INFO,SECURITY MODE COMMAND,b9fd3309,SECURITY MODE <*>,['COMMAND']
91,1610515138.770425000,INFO,SECURITY MODE COMPLETE,b9fd3309,SECURITY MODE <*>,['COMPLETE']
92,1610515138.770453000,INFO,UE CAPABILITY ENQUIRY,7bc5722c,UE CAPABILITY <*>,['ENQUIRY']
93,1610515138.770502000,INFO,UE CAPABILITY INFORMATION,7bc5722c,UE CAPABILITY <*>,['INFORMATION']
94,1610515138.770533000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
95,1610515138.770558000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
96,1610515138.770558000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
97,1610515138.770589000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['RECONFIGURATION']
98,1610515138.770651000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
99,1610515138.770651000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
100,1610515138.770672000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
101,1610515138.974015000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['RECONFIGURATION']
102,1610515138.974174000,INFO,MEASUREMENT REPORT,d4d15a19,MEASUREMENT REPORT,[]
103,1610515138.974259000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
104,1610515138.974259000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
105,1610515138.974402000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
106,1610515138.974402000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
107,1610515138.974472000,INFO,RRC CONNECTION RECONFIGURATION,19f1ee84,RRC CONNECTION <*>,['RECONFIGURATION']
108,1610515138.974472000,INFO,EPS MOBILITY MANAGEMENT MESSAGES,393173e2,EPS MOBILITY MANAGEMENT MESSAGES,[]
109,1610515138.974546000,INFO,RRC CONNECTION RECONFIGURATION COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['RECONFIGURATION']
110,1610515138.974673000,INFO,UL INFORMATION TRANSFER,8c18cf06,UL INFORMATION TRANSFER,[]
