EventId,EventTemplate,Occurrences
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,64
e7ed9071,SYSTEM INFORMATION,71
19f1ee84,RRC CONNECTION <*>,49
5a9160d8,RRC CONNECTION <*> COMPLETE,18
d569b07b,ATTACH <*>,17
8731ff20,DL INFORMATION TRANSFER,13
a7feadbb,SUBSEQUENT SEGMENT,84
d51f2c9d,LAST SEGMENT SHORT,45
26dd3cb6,COMPLETE SIB- LIST,246
8cf37edf,NO SEGMENT,63
7b732bf9,INITIAL DIRECT TRANSFER,1
d3029aef,MEASUREMENT <*>,9
02940325,DOWNLINK DIRECT TRANSFER,1
474cb5df,FIRST SEGMENT,38
6577c5e3,AUTHENTICATION <*>,10
8c18cf06,UL INFORMATION TRANSFER,10
b9fd3309,SECURITY MODE <*>,6
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,6
c894a23e,DETACH REQUEST,1
