LineId,Time,Level,Content,EventId,EventTemplate,ParameterList
1,1609387746.865571000,INFO,RRC CONNECTION REQUEST (1),e17eede7,RRC CONNECTION <*> <*>,['REQUEST (1)']
2,1609387746.865755000,INFO,PAGING (0),ca989ac4,PAGING (0),[]
3,1609387746.865836000,INFO,RRC CONNECTION SETUP (3),e17eede7,RRC CONNECTION <*> <*>,['SETUP (3)']
4,1609387746.865909000,INFO,RRC CONNECTION SETUP COMPLETE (4),8e35398c,RRC CONNECTION <*> COMPLETE <*>,"['SETUP', '(4)']"
5,1609387746.865909000,INFO,DETACH REQUEST (0X45),aef40744,DETACH REQUEST (0X45),[]
6,1609387752.791294000,INFO,SYSTEM INFORMATION BLOCK TYPE1 (1),9d04e05c,SYSTEM INFORMATION BLOCK TYPE1 (1),[]
7,1609387752.791368000,INFO,SYSTEM INFORMATION (0),4cc69666,SYSTEM INFORMATION (0),[]
8,1609387752.791406000,INFO,SYSTEM INFORMATION (0),4cc69666,SYSTEM INFORMATION (0),[]
9,1609387752.791428000,INFO,RRC CONNECTION REQUEST (1),e17eede7,RRC CONNECTION <*> <*>,['REQUEST (1)']
10,1609387752.791474000,INFO,RRC CONNECTION SETUP (3),e17eede7,RRC CONNECTION <*> <*>,['SETUP (3)']
11,1609387752.791486000,INFO,RRC CONNECTION SETUP COMPLETE (4),8e35398c,RRC CONNECTION <*> COMPLETE <*>,"['SETUP', '(4)']"
12,1609387752.791486000,INFO,ATTACH REQUEST (0X41),3fb0945e,ATTACH REQUEST (0X41),[]
13,1609387753.234118000,INFO,DL INFORMATION TRANSFER (1),8252aaa9,DL INFORMATION TRANSFER (1),[]
14,1609387753.234118000,INFO,EPS MOBILITY MANAGEMENT MESSAGES (0X7),e5bde69f,EPS MOBILITY MANAGEMENT MESSAGES (0X7),[]
15,1609387753.234330000,INFO,SYSTEM INFORMATION (0),4cc69666,SYSTEM INFORMATION (0),[]
16,1609387753.234410000,INFO,SYSTEM INFORMATION (0),4cc69666,SYSTEM INFORMATION (0),[]
17,1609387753.234529000,INFO,SYSTEM INFORMATION BLOCK TYPE1 (1),9d04e05c,SYSTEM INFORMATION BLOCK TYPE1 (1),[]
18,1609387753.234612000,INFO,SYSTEM INFORMATION (0),4cc69666,SYSTEM INFORMATION (0),[]
