EventId,EventTemplate,Occurrences
e17eede7,RRC CONNECTION <*> <*>,14
ca989ac4,PAGING (0),9
8e35398c,RRC CONNECTION <*> COMPLETE <*>,8
aef40744,DETACH REQUEST (0X45),2
9d04e05c,SYSTEM INFORMATION BLOCK TYPE1 (1),4
4cc69666,SYSTEM INFORMATION (0),12
3fb0945e,ATTACH REQUEST (0X41),2
8252aaa9,DL INFORMATION TRANSFER (1),6
e5bde69f,EPS MOBILITY MANAGEMENT MESSAGES (0X7),12
8e80d598,UL INFORMATION TRANSFER (9),6
cef941a1,SECURITY MODE <*> <*>,6
adee7b29,UE CAPABILITY <*> (7),4
a69db4ef,MEASUREMENT REPORT (1),4
