EventId,EventTemplate,Occurrences
26dd3cb6,COMPLETE SIB- LIST,245
474cb5df,FIRST SEGMENT,46
a7feadbb,SUBSEQUENT SEGMENT,84
d51f2c9d,LAST SEGMENT SHORT,41
8cf37edf,NO SEGMENT,37
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,44
e7ed9071,SYSTEM INFORMATION,46
19f1ee84,RRC CONNECTION <*>,34
5a9160d8,RRC CONNECTION <*> COMPLETE,12
d569b07b,ATTACH <*>,12
8731ff20,DL INFORMATION TRANSFER,22
6577c5e3,AUTHENTICATION <*>,8
8c18cf06,UL INFORMATION TRANSFER,15
b9fd3309,SECURITY MODE <*>,5
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,9
0a2f5089,PAGING,1
e046c208,SERVICE REJECT,6
17fa1a64,EMM STATUS,3
c7258716,IDENTITY <*>,8
d789d7ba,PAGING TYPE1,1
