LineId,Time,Level,Content,EventId,EventTemplate,ParameterList
1,1488919031.588411000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
2,1488919031.588411000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
3,1488919031.588411000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
4,1488919031.588411000,INFO,NO SEGMENT,8cf37edf,NO SEGMENT,[]
5,1488919031.588411000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
6,1488919031.588411000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
7,1488919031.588411000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
8,1488919031.588411000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
9,1488919031.588411000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
10,1488919031.588411000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
11,1488919031.588411000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
12,1488919031.789096000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
13,1488919031.789096000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
14,1488919031.789096000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
15,1488919031.789096000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
16,1488919031.789096000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
17,1488919031.789096000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
18,1488919031.789096000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
19,1488919031.789096000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
20,1488919031.789096000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
21,1488919031.789096000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
22,1488919032.005734000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
23,1488919032.021114000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
24,1488919032.021114000,INFO,FIRST SEGMENT,474cb5df,FIRST SEGMENT,[]
25,1488919032.021114000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
26,1488919032.021114000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
27,1488919032.021114000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
28,1488919032.021114000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
29,1488919032.021114000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
30,1488919032.021114000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
31,1488919032.021114000,INFO,SUBSEQUENT SEGMENT,a7feadbb,SUBSEQUENT SEGMENT,[]
32,1488919032.021114000,INFO,LAST SEGMENT SHORT,d51f2c9d,LAST SEGMENT SHORT,[]
33,1488919032.237717000,INFO,COMPLETE SIB- LIST,26dd3cb6,COMPLETE SIB- LIST,[]
34,1488919032.237717000,INFO,PAGING TYPE1,d789d7ba,PAGING TYPE1,[]
35,1488919035.262628000,INFO,SYSTEM INFORMATION BLOCK TYPE1,b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,[]
36,1488919035.262628000,INFO,SYSTEM INFORMATION,e7ed9071,SYSTEM INFORMATION,[]
37,1488919035.500910000,INFO,RRC CONNECTION REQUEST,19f1ee84,RRC CONNECTION <*>,['REQUEST']
38,1488919035.500910000,INFO,RRC CONNECTION SETUP,19f1ee84,RRC CONNECTION <*>,['SETUP']
39,1488919035.500910000,INFO,RRC CONNECTION SETUP COMPLETE,5a9160d8,RRC CONNECTION <*> COMPLETE,['SETUP']
40,1488919035.500910000,INFO,ATTACH REQUEST,d569b07b,ATTACH <*>,['REQUEST']
41,1488919035.500910000,INFO,DL INFORMATION TRANSFER,8731ff20,DL INFORMATION TRANSFER,[]
