EventId,EventTemplate,Occurrences
26dd3cb6,COMPLETE SIB- LIST,343
8cf37edf,NO SEGMENT,79
474cb5df,FIRST SEGMENT,58
d51f2c9d,LAST SEGMENT SHORT,60
a7feadbb,SUBSEQUENT SEGMENT,116
d789d7ba,PAGING TYPE1,1
b01ee4a8,SYSTEM INFORMATION BLOCK TYPE1,22
e7ed9071,SYSTEM INFORMATION,23
19f1ee84,RRC CONNECTION <*>,45
5a9160d8,RRC CONNECTION <*> COMPLETE,18
d569b07b,ATTACH <*>,16
8731ff20,DL INFORMATION TRANSFER,26
6577c5e3,AUTHENTICATION <*>,10
8c18cf06,UL INFORMATION TRANSFER,17
b9fd3309,SECURITY MODE <*>,6
393173e2,EPS MOBILITY MANAGEMENT MESSAGES,11
0a2f5089,PAGING,1
335cd993,TRACKING AREA UPDATE REJECT,7
17fa1a64,EMM STATUS,4
c894a23e,DETACH REQUEST,1
c7258716,IDENTITY <*>,8
